Primate_div_Project	Great_ape_data
PD_0758-Papio_kindae	
PD_0759-Papio_kindae	
PD_0760-Papio_kindae	
PD_0762-Papio_cynocephalus	
PD_0764-Papio_cynocephalus	
PD_0765-Papio_cynocephalus	
PD_0767-Papio_cynocephalus	
PD_0768-Papio_cynocephalus	
PD_0769-Papio_cynocephalus	
PD_0770-Papio_cynocephalus	
PD_0771-Papio_cynocephalus	
PD_0772-Papio_cynocephalus	
PD_0773-Papio_cynocephalus	
PD_0774-Papio_cynocephalus	
PD_0776-Papio_kindae	
PD_0777-Papio_kindae	
PD_0778-Papio_kindae	
PD_0779-Papio_kindae	
PD_0780-Papio_kindae	
PD_0781-Papio_kindae	
PD_0786-Papio_kindae	
PD_0787-Papio_kindae	
PD_0788-Papio_kindae	
PD_0789-Papio_kindae	
PD_0790-Papio_kindae	
PD_0791-Papio_kindae	
PD_0792-Papio_kindae	
PD_0008-Aotus_trivirgatus	
PD_0286-Aotus_vociferans	
PD_0794-Aotus_vociferans	
PD_0795-Aotus_vociferans	
PD_0796-Aotus_vociferans	
PD_0798-Aotus_azarae	
PD_0799-Aotus_azarae	
PD_0800-Aotus_azarae	
PD_0801-Aotus_azarae	
PD_0802-Aotus_griseimembra	
PD_0803-Aotus_griseimembra	
PD_0804-Aotus_griseimembra	
PD_0805-Aotus_griseimembra	
PD_0806-Aotus_azarae	
PD_0807-Aotus_azarae	
PD_0808-Aotus_azarae	
PD_0809-Aotus_azarae	
PD_0810-Aotus_azarae	
PD_0811-Aotus_azarae	
PD_0812-Aotus_azarae	
PD_0813-Aotus_azarae	
PD_0814-Aotus_azarae	
PD_0004-Ateles_belzebuth	
PD_0005-Alouatta_macconnelli	
PD_0016-Lagothrix_lagothricha	
PD_0025-Alouatta_seniculus	
PD_0026-Alouatta_puruensis	
PD_0027-Alouatta_discolor	
PD_0072-Alouatta_seniculus	
PD_0073-Alouatta_caraya	
PD_0074-Ateles_chamek	
PD_0075-Ateles_paniscus	
PD_0076-Ateles_marginatus	
PD_0089-Alouatta_macconnelli	
PD_0134-Alouatta_seniculus	
PD_0135-Alouatta_macconnelli	
PD_0136-Alouatta_seniculus	
PD_0137-Alouatta_puruensis	
PD_0138-Ateles_belzebuth	
PD_0139-Ateles_chamek	
PD_0140-Ateles_chamek	
PD_0294-Alouatta_belzebul	
PD_0295-Alouatta_discolor	
PD_0296-Alouatta_nigerrima	
PD_0297-Alouatta_seniculus	
PD_0298-Alouatta_seniculus	
PD_0299-Alouatta_caraya	
PD_0300-Ateles_chamek	
PD_0301-Ateles_chamek	
PD_0302-Ateles_chamek	
PD_0303-Ateles_chamek	
PD_0304-Ateles_paniscus	
PD_0305-Ateles_chamek	
PD_0412-Alouatta_seniculus	
PD_0413-Alouatta_seniculus	
PD_0414-Alouatta_seniculus	
PD_0415-Alouatta_nigerrima	
PD_0416-Alouatta_macconnelli	
PD_0417-Alouatta_macconnelli	
PD_0418-Alouatta_seniculus	
PD_0419-Alouatta_puruensis	
PD_0420-Alouatta_juara	
PD_0421-Alouatta_juara	
PD_0422-Alouatta_seniculus	
PD_0423-Alouatta_seniculus	
PD_0424-Alouatta_seniculus	
PD_0425-Alouatta_seniculus	
PD_0426-Alouatta_puruensis	
PD_0428-Alouatta_seniculus	
PD_0429-Alouatta_puruensis	
PD_0430-Alouatta_puruensis	
PD_0431-Ateles_chamek	
PD_0432-Ateles_chamek	
PD_0433-Ateles_chamek	
PD_0068-Cercocebus_chrysogaster	
PD_0125-Cercocebus_lunulatus	
PD_0256-Cercocebus_torquatus	
PD_0408-Cercocebus_torquatus	
PD_0032-Cercopithecus_ascanius	
PD_0033-Cercopithecus_nictitans	
PD_0041-Cercopithecus_cephus	
PD_0042-Cercopithecus_mona	
PD_0058-Cercopithecus_neglectus	
PD_0059-Cercopithecus_diana	
PD_0060-Cercopithecus_hamlyni	
PD_0061-Cercopithecus_mitis	
PD_0066-Cercopithecus_ascanius	
PD_0090-Cercopithecus_nictitans	
PD_0091-Cercopithecus_petaurista	
PD_0092-Cercopithecus_pogonias	
PD_0093-Cercopithecus_roloway	
PD_0094-Cercopithecus_cephus	
PD_0095-Cercopithecus_cephus	
PD_0096-Cercopithecus_mitis	
PD_0124-Miopithecus_ogouensis	
PD_0407-Cercopithecus_neglectus	
PD_0410-Cercopithecus_ascanius	
PD_0028-Allenopithecus_nigroviridis	
PD_0029-Allochrocebus_lhoesti	
PD_0030-Allochrocebus_preussi	
PD_0031-Allochrocebus_solatus	
PD_0126-Allenopithecus_nigroviridis	
PD_0127-Allochrocebus_lhoesti	
PD_0173-Chlorocebus_pygerythrus	
PD_0055-Colobus_polykomos	
PD_0056-Colobus_guereza	
PD_0879-Colobus_angolensis	
PD_0148-Daubentonia_madagascariensis	
PD_0034-Erythrocebus_patas	
PD_0062-Erythrocebus_patas	
PD_0156-Galago_senegalensis	
PD_0622-Galagoides_demidoff	
PD_0179-Gorilla_beringei	
PD_0180-Gorilla_gorilla	
PD_0181-Gorilla_gorilla	
PD_0182-Gorilla_gorilla	
PD_0183-Gorilla_gorilla	
PD_0184-Gorilla_gorilla	
PD_0185-Gorilla_gorilla	
PD_0186-Gorilla_gorilla	
PD_0188-Gorilla_gorilla	
PD_0189-Gorilla_gorilla	
PD_0190-Gorilla_gorilla	
PD_0191-Gorilla_gorilla	
PD_0192-Gorilla_gorilla	
PD_0193-Gorilla_gorilla	
PD_0194-Gorilla_gorilla	
PD_0195-Gorilla_gorilla	
PD_0196-Gorilla_gorilla	
PD_0197-Gorilla_gorilla	
PD_0198-Gorilla_gorilla	
PD_0260-Gorilla_gorilla	
PD_0264-Gorilla_gorilla	
PD_0149-Eulemur_albifrons	
PD_0150-Eulemur_collaris	
PD_0151-Eulemur_coronatus	
PD_0152-Eulemur_flavifrons	
PD_0153-Eulemur_macaco	
PD_0154-Eulemur_sanfordi	
PD_0157-Hapalemur_gilberti	
PD_0158-Hapalemur_griseus	
PD_0159-Hapalemur_meridionalis	
PD_0166-Prolemur_simus	
PD_0247-Eulemur_collaris	
PD_0604-Varecia_rubra	
PD_0610-Eulemur_collaris	
PD_0611-Eulemur_coronatus	
PD_0612-Eulemur_flavifrons	
PD_0613-Eulemur_fulvus	
PD_0614-Eulemur_macaco	
PD_0615-Eulemur_mongoz	
PD_0616-Eulemur_rubriventer	
PD_0617-Eulemur_rufus	
PD_0618-Eulemur_sanfordi	
PD_0619-Hapalemur_alaotrensis	
PD_0620-Lemur_catta	
PD_0621-Varecia_variegata	
PD_0531-Loris_lydekkerianus	
PD_0626-Loris_tardigradus	
PD_0044-Macaca_siberu	
PD_0070-Macaca_maura	
PD_0071-Macaca_arctoides	
PD_0097-Macaca_leonina	
PD_0261-Macaca_mulatta	
PD_0533-Macaca_arctoides	
PD_0535-Macaca_arctoides	
PD_0538-Macaca_fascicularis	
PD_0539-Macaca_fascicularis	
PD_0540-Macaca_leonina	
PD_0541-Macaca_leonina	
PD_0542-Macaca_leonina	
PD_0543-Macaca_leonina	
PD_0544-Macaca_leonina	
PD_0546-Macaca_mulatta	
PD_0550-Macaca_mulatta	
PD_0551-Macaca_mulatta	
PD_0552-Macaca_radiata	
PD_0554-Macaca_radiata	
PD_0555-Macaca_radiata	
PD_0556-Macaca_radiata	
PD_0557-Macaca_radiata	
PD_0559-Macaca_radiata	
PD_0561-Macaca_radiata	
PD_0562-Macaca_radiata	
PD_0563-Macaca_radiata	
PD_0564-Macaca_radiata	
PD_0565-Macaca_silenus	
PD_0567-Macaca_silenus	
PD_0569-Macaca_silenus	
PD_0570-Macaca_silenus	
PD_0571-Macaca_silenus	
PD_0572-Macaca_silenus	
PD_0573-Macaca_silenus	
PD_0574-Macaca_silenus	
PD_0575-Macaca_silenus	
PD_0577-Macaca_silenus	
PD_0816-Macaca_fascicularis	
PD_0817-Macaca_fascicularis	
PD_0818-Macaca_fascicularis	
PD_0819-Macaca_fascicularis	
PD_0820-Macaca_fascicularis	
PD_0823-Macaca_fascicularis	
PD_0824-Macaca_fascicularis	
PD_0825-Macaca_fascicularis	
PD_0826-Macaca_fascicularis	
PD_0827-Macaca_fascicularis	
PD_0828-Macaca_fascicularis	
PD_0829-Macaca_fascicularis	
PD_0830-Macaca_fascicularis	
PD_0831-Macaca_fascicularis	
PD_0832-Macaca_fascicularis	
PD_0833-Macaca_fascicularis	
PD_0834-Macaca_fascicularis	
PD_0835-Macaca_fascicularis	
PD_0837-Macaca_fascicularis	
PD_0838-Macaca_fascicularis	
PD_0856-Macaca_nigra	
PD_0857-Macaca_tonkeana	
PD_0858-Macaca_nemestrina	
PD_0859-Macaca_assamensis	
PD_0860-Macaca_arctoides	
PD_0870-Macaca_nemestrina	
PD_0872-Macaca_nemestrina	
PD_0874-Macaca_nemestrina	
PD_0883-Macaca_thibetana	
PD_0886-Macaca_fuscata	
PD_0040-Lophocebus_aterrimus	
PD_0057-Mandrillus_sphinx	
PD_0876-Mandrillus_leucophaeus	
PD_0161-Lepilemur_septentrionalis	
PD_0163-Mirza_zaza	
PD_0245-Lepilemur_ankaranensis	
PD_0246-Lepilemur_dorsalis	
PD_0248-Lepilemur_ankaranensis	
PD_0249-Lepilemur_ruficaudatus	
PD_0250-Lepilemur_septentrionalis	
PD_0605-Cheirogaleus_major	
PD_0606-Cheirogaleus_medius	
PD_0607-Microcebus_murinus	
PD_0608-Mirza_zaza	
PD_0036-Hylobates_abbotti	
PD_0037-Nomascus_concolor	
PD_0049-Hylobates_muelleri	
PD_0050-Hylobates_agilis	
PD_0051-Nomascus_gabriellae	
PD_0098-Hylobates_lar	
PD_0099-Nomascus_siki	
PD_0164-Nomascus_annamensis	
PD_0520-Hoolock_hoolock	
PD_0522-Hoolock_hoolock	
PD_0523-Hoolock_hoolock	
PD_0524-Hoolock_hoolock	
PD_0525-Hoolock_hoolock	
PD_0527-Hoolock_hoolock	
PD_0528-Hoolock_hoolock	
PD_0529-Hoolock_hoolock	
PD_0530-Hoolock_hoolock	
PD_0110-Nycticebus_pygmaeus	
PD_0111-Nycticebus_pygmaeus	
PD_0145-Arctocebus_calabarensis	
PD_0165-Perodicticus_ibeanus	
PD_0578-Nycticebus_bengalensis	
PD_0579-Nycticebus_bengalensis	
PD_0580-Nycticebus_bengalensis	
PD_0581-Nycticebus_bengalensis	
PD_0842-Nycticebus_bengalensis	
PD_0845-Nycticebus_bengalensis	
PD_0846-Nycticebus_bengalensis	
PD_0623-Otolemur_crassicaudatus	
PD_0624-Otolemur_garnettii	
PD_0625-Otolemur_crassicaudatus	
PD_0258-Pan_troglodytes	
PD_0259-Pan_troglodytes	
PD_0427-Pan_troglodytes	
PD_0265-Papio_anubis	
PD_0266-Papio_anubis	
PD_0267-Papio_anubis	
PD_0268-Papio_cynocephalus	
PD_0269-Papio_cynocephalus	
PD_0270-Papio_cynocephalus	
PD_0271-Papio_cynocephalus	
PD_0272-Papio_cynocephalus	
PD_0001-Cheracebus_lugens	
PD_0003-Cacajao_hosomi	
PD_0006-Chiropotes_israelita	
PD_0014-Plecturocebus_cupreus	
PD_0015-Pithecia_vanzolinii	
PD_0018-Cacajao_melanocephalus	
PD_0019-Cacajao_ayresi	
PD_0020-Cacajao_calvus	
PD_0021-Cacajao_calvus	
PD_0022-Cacajao_ayresi	
PD_0023-Cacajao_calvus	
PD_0024-Cacajao_calvus	
PD_0080-Chiropotes_albinasus	
PD_0081-Chiropotes_sagulatus	
PD_0082-Chiropotes_sagulatus	
PD_0083-Pithecia_pissinattii	
PD_0085-Pithecia_hirsuta	
PD_0087-Pithecia_albicans	
PD_0088-Cacajao_calvus	
PD_0128-Cacajao_melanocephalus	
PD_0129-Cacajao_hosomi	
PD_0130-Cacajao_calvus	
PD_0131-Cacajao_ayresi	
PD_0132-Cacajao_calvus	
PD_0133-Cacajao_calvus	
PD_0142-Chiropotes_albinasus	
PD_0143-Pithecia_hirsuta	
PD_0144-Pithecia_pissinattii	
PD_0274-Plecturocebus_brunneus	
PD_0277-Plecturocebus_dubius	
PD_0278-Plecturocebus_grovesi	
PD_0279-Plecturocebus_hoffmannsi	
PD_0280-Plecturocebus_miltoni	
PD_0284-Cheracebus_regulus	
PD_0285-Cheracebus_torquatus	
PD_0288-Cheracebus_lucifer	
PD_0289-Cacajao_calvus	
PD_0290-Cacajao_calvus	
PD_0291-Cacajao_calvus	
PD_0292-Cacajao_calvus	
PD_0306-Cacajao_calvus	
PD_0312-Cheracebus_lucifer	
PD_0313-Cheracebus_lucifer	
PD_0315-Cheracebus_lugens	
PD_0317-Cheracebus_lugens	
PD_0318-Cheracebus_lugens	
PD_0319-Cheracebus_lugens	
PD_0320-Cheracebus_lugens	
PD_0322-Cheracebus_regulus	
