Primate_div_Project	Great_ape_data
PD_0129-Cacajao_hosomi	SRS396833-Pongo_pygmaeus
PD_0130-Cacajao_calvus	SRS396835-Pongo_pygmaeus
PD_0131-Cacajao_ayresi	SRS396836-Pongo_pygmaeus
PD_0132-Cacajao_calvus	Outgroup-Tupaia_chinensis
PD_0133-Cacajao_calvus	
PD_0142-Chiropotes_albinasus	
PD_0143-Pithecia_hirsuta	
PD_0144-Pithecia_pissinattii	
PD_0289-Cacajao_calvus	
PD_0290-Cacajao_calvus	
PD_0291-Cacajao_calvus	
PD_0292-Cacajao_calvus	
PD_0307-Cacajao_calvus	
PD_0308-Cacajao_calvus	
PD_0323-Chiropotes_albinasus	
PD_0325-Chiropotes_albinasus	
PD_0326-Chiropotes_israelita	
PD_0327-Chiropotes_israelita	
PD_0328-Chiropotes_israelita	
PD_0329-Chiropotes_sagulatus	
PD_0330-Chiropotes_sagulatus	
PD_0331-Pithecia_pissinattii	
PD_0332-Plecturocebus_bernhardi	
PD_0345-Chiropotes_albinasus	
PD_0434-Cacajao_calvus	
PD_0435-Cacajao_calvus	
PD_0436-Cacajao_calvus	
PD_0437-Cacajao_calvus	
PD_0146-Avahi_laniger	
PD_0147-Avahi_peyrierasi	
PD_0167-Propithecus_coronatus	
PD_0168-Propithecus_diadema	
PD_0169-Propithecus_edwardsi	
PD_0170-Propithecus_perrieri	
PD_0171-Propithecus_tattersalli	
PD_0172-Propithecus_verreauxi	
PD_0251-Propithecus_diadema	
PD_0252-Propithecus_perrieri	
PD_0609-Propithecus_coquereli	
PD_0854-Indri_indri	
PD_0199-Papio_anubis	
PD_0200-Papio_anubis	
PD_0201-Papio_anubis	
PD_0202-Papio_anubis	
PD_0203-Papio_anubis	
PD_0204-Papio_anubis	
PD_0205-Papio_anubis	
PD_0206-Papio_anubis	
PD_0207-Papio_anubis	
PD_0208-Papio_anubis	
PD_0209-Papio_anubis	
PD_0210-Papio_anubis	
PD_0211-Papio_anubis	
PD_0212-Papio_anubis	
PD_0213-Papio_cynocephalus	
PD_0214-Papio_cynocephalus	
PD_0215-Papio_cynocephalus	
PD_0216-Papio_cynocephalus	
PD_0217-Papio_cynocephalus	
PD_0219-Papio_anubis	
PD_0220-Papio_anubis	
PD_0221-Papio_anubis	
PD_0222-Papio_anubis	
PD_0223-Papio_cynocephalus	
PD_0224-Papio_cynocephalus	
PD_0225-Papio_cynocephalus	
PD_0226-Papio_cynocephalus	
PD_0227-Papio_cynocephalus	
PD_0228-Papio_cynocephalus	
PD_0229-Papio_cynocephalus	
PD_0230-Papio_cynocephalus	
PD_0231-Papio_cynocephalus	
PD_0232-Papio_cynocephalus	
PD_0233-Papio_cynocephalus	
PD_0234-Papio_cynocephalus	
PD_0235-Papio_cynocephalus	
PD_0236-Papio_cynocephalus	
PD_0237-Papio_cynocephalus	
PD_0238-Papio_anubis	
PD_0239-Papio_anubis	
PD_0240-Papio_anubis	
PD_0241-Papio_anubis	
PD_0242-Papio_anubis	
PD_0243-Papio_anubis	
PD_0244-Papio_anubis	
PD_0390-Papio_papio	
PD_0391-Papio_papio	
PD_0392-Papio_papio	
PD_0393-Papio_papio	
PD_0394-Papio_papio	
PD_0395-Papio_papio	
PD_0396-Papio_papio	
PD_0397-Papio_papio	
PD_0398-Papio_papio	
PD_0399-Papio_papio	
PD_0400-Papio_papio	
PD_0401-Papio_papio	
PD_0692-Papio_ursinus	
PD_0693-Papio_ursinus	
PD_0694-Papio_ursinus	
PD_0695-Papio_ursinus	
PD_0696-Papio_hamadryas	
PD_0697-Papio_hamadryas	
PD_0698-Papio_hamadryas	
PD_0699-Papio_hamadryas	
PD_0700-Papio_hamadryas	
PD_0701-Papio_hamadryas	
PD_0702-Papio_hamadryas	
PD_0703-Papio_hamadryas	
PD_0705-Papio_hamadryas	
PD_0706-Papio_hamadryas	
PD_0707-Papio_hamadryas	
PD_0708-Papio_hamadryas	
PD_0709-Papio_hamadryas	
PD_0710-Papio_hamadryas	
PD_0711-Papio_hamadryas	
PD_0712-Papio_hamadryas	
PD_0713-Papio_hamadryas	
PD_0714-Papio_hamadryas	
PD_0715-Papio_hamadryas	
PD_0716-Papio_hamadryas	
PD_0717-Papio_hamadryas	
PD_0718-Papio_hamadryas	
PD_0719-Papio_hamadryas	
PD_0720-Papio_anubis	
PD_0721-Papio_anubis	
PD_0722-Papio_anubis	
PD_0723-Papio_anubis	
PD_0724-Papio_anubis	
PD_0725-Papio_anubis	
PD_0726-Papio_anubis	
PD_0727-Papio_anubis	
PD_0728-Papio_anubis	
PD_0729-Papio_anubis	
PD_0730-Papio_anubis	
PD_0731-Papio_anubis	
PD_0732-Papio_anubis	
PD_0733-Papio_anubis	
PD_0734-Papio_anubis	
PD_0735-Papio_anubis	
PD_0736-Papio_anubis	
PD_0737-Papio_anubis	
PD_0738-Papio_anubis	
PD_0739-Papio_anubis	
PD_0740-Papio_anubis	
PD_0741-Papio_anubis	
PD_0742-Papio_anubis	
PD_0743-Papio_anubis	
PD_0744-Papio_anubis	
PD_0745-Papio_cynocephalus	
PD_0746-Papio_cynocephalus	
PD_0747-Papio_cynocephalus	
PD_0748-Papio_cynocephalus	
PD_0749-Papio_kindae	
PD_0750-Papio_kindae	
PD_0751-Papio_kindae	
PD_0752-Papio_cynocephalus	
PD_0753-Papio_cynocephalus	
PD_0754-Papio_cynocephalus	
PD_0755-Papio_cynocephalus	
PD_0756-Papio_cynocephalus	
PD_0757-Papio_cynocephalus	
PD_0758-Papio_kindae	
PD_0759-Papio_kindae	
PD_0760-Papio_kindae	
PD_0761-Papio_cynocephalus	
PD_0762-Papio_cynocephalus	
PD_0763-Papio_cynocephalus	
PD_0764-Papio_cynocephalus	
PD_0765-Papio_cynocephalus	
PD_0766-Papio_cynocephalus	
PD_0767-Papio_cynocephalus	
PD_0768-Papio_cynocephalus	
PD_0769-Papio_cynocephalus	
PD_0770-Papio_cynocephalus	
PD_0771-Papio_cynocephalus	
PD_0772-Papio_cynocephalus	
PD_0773-Papio_cynocephalus	
PD_0774-Papio_cynocephalus	
PD_0775-Papio_cynocephalus	
PD_0776-Papio_kindae	
PD_0777-Papio_kindae	
PD_0778-Papio_kindae	
PD_0779-Papio_kindae	
PD_0780-Papio_kindae	
PD_0781-Papio_kindae	
PD_0782-Papio_kindae	
PD_0783-Papio_kindae	
PD_0784-Papio_kindae	
PD_0785-Papio_kindae	
PD_0786-Papio_kindae	
PD_0787-Papio_kindae	
PD_0788-Papio_kindae	
PD_0789-Papio_kindae	
PD_0790-Papio_kindae	
PD_0791-Papio_kindae	
PD_0792-Papio_kindae	
PD_0793-Papio_kindae	
PD_0794_BAB-Papio_kindae	
PD_0404-Tarsius_lariang	
PD_0405-Tarsius_wallacei	
PD_0628-Cephalopachus_bancanus	
PD_0629-Carlito_syrichta	
PD_0067-Theropithecus_gelada	
