Primate_div_Project	Great_ape_data
PD_0371-Saimiri_ustus	A960-Pan_troglodytes_troglodytes
PD_0372-Saimiri_macrodon	A990-Pan_troglodytes_troglodytes
PD_0373-Saimiri_cassiquiarensis	B021-Pan_troglodytes_troglodytes
PD_0374-Saimiri_ustus	B022-Pan_troglodytes_troglodytes
PD_0375-Saimiri_ustus	B023-Pan_troglodytes_troglodytes
PD_0402-Cebus_albifrons	B024-Pan_troglodytes_troglodytes
PD_0068-Cercocebus_chrysogaster	B025-Pan_troglodytes_troglodytes
PD_0125-Cercocebus_lunulatus	9668-Pan_troglodytes_verus
PD_0256-Cercocebus_torquatus	A956-Pan_troglodytes_verus
PD_0408-Cercocebus_torquatus	A991-Pan_troglodytes_verus
PD_0032-Cercopithecus_ascanius	A993-Pan_troglodytes_verus
PD_0033-Cercopithecus_nictitans	B005-Pan_troglodytes_verus
PD_0041-Cercopithecus_cephus	B006-Pan_troglodytes_verus
PD_0042-Cercopithecus_mona	Clint-Pan_troglodytes_verus
PD_0043-Cercopithecus_lowei	N014-Pan_troglodytes_verus
PD_0058-Cercopithecus_neglectus	X00100-Pan_troglodytes_verus
PD_0059-Cercopithecus_diana	ERS1986511-Pongo_pygmaeus
PD_0060-Cercopithecus_hamlyni	ERS1986512-Pongo_pygmaeus
PD_0061-Cercopithecus_mitis	ERS1986513-Pongo_pygmaeus
PD_0066-Cercopithecus_ascanius	ERS1986514-Pongo_pygmaeus
PD_0090-Cercopithecus_nictitans	ERS1986515-Pongo_pygmaeus
PD_0091-Cercopithecus_petaurista	ERS1986516-Pongo_pygmaeus
PD_0092-Cercopithecus_pogonias	ERS1986518-Pongo_pygmaeus
PD_0093-Cercopithecus_roloway	ERS1986519-Pongo_pygmaeus
PD_0094-Cercopithecus_cephus	ERS1986520-Pongo_pygmaeus
PD_0095-Cercopithecus_cephus	SRS396832-Pongo_pygmaeus
PD_0096-Cercopithecus_mitis	SRS396833-Pongo_pygmaeus
PD_0124-Miopithecus_ogouensis	SRS396834-Pongo_pygmaeus
PD_0406-Cercopithecus_ascanius	SRS396835-Pongo_pygmaeus
PD_0407-Cercopithecus_neglectus	SRS396836-Pongo_pygmaeus
PD_0410-Cercopithecus_ascanius	ERS1986521-Pongo_tapanuliensis
PD_0028-Allenopithecus_nigroviridis	Outgroup-Tupaia_chinensis
PD_0029-Allochrocebus_lhoesti	
PD_0030-Allochrocebus_preussi	
PD_0031-Allochrocebus_solatus	
PD_0126-Allenopithecus_nigroviridis	
PD_0127-Allochrocebus_lhoesti	
PD_0173-Chlorocebus_pygerythrus	
PD_0055-Colobus_polykomos	
PD_0056-Colobus_guereza	
PD_0879-Colobus_angolensis	
PD_0148-Daubentonia_madagascariensis	
PD_0034-Erythrocebus_patas	
PD_0062-Erythrocebus_patas	
PD_0155-Galago_moholi	
PD_0156-Galago_senegalensis	
PD_0622-Galagoides_demidoff	
PD_0179-Gorilla_beringei	
PD_0180-Gorilla_gorilla	
PD_0181-Gorilla_gorilla	
PD_0182-Gorilla_gorilla	
PD_0183-Gorilla_gorilla	
PD_0184-Gorilla_gorilla	
PD_0185-Gorilla_gorilla	
PD_0186-Gorilla_gorilla	
PD_0188-Gorilla_gorilla	
PD_0189-Gorilla_gorilla	
PD_0190-Gorilla_gorilla	
PD_0191-Gorilla_gorilla	
PD_0192-Gorilla_gorilla	
PD_0193-Gorilla_gorilla	
PD_0194-Gorilla_gorilla	
PD_0195-Gorilla_gorilla	
PD_0196-Gorilla_gorilla	
PD_0197-Gorilla_gorilla	
PD_0198-Gorilla_gorilla	
PD_0260-Gorilla_gorilla	
PD_0264-Gorilla_gorilla	
PD_0149-Eulemur_albifrons	
PD_0151-Eulemur_coronatus	
PD_0152-Eulemur_flavifrons	
PD_0153-Eulemur_macaco	
PD_0154-Eulemur_sanfordi	
PD_0157-Hapalemur_gilberti	
PD_0158-Hapalemur_griseus	
PD_0159-Hapalemur_meridionalis	
PD_0166-Prolemur_simus	
PD_0604-Varecia_rubra	
PD_0610-Eulemur_collaris	
PD_0611-Eulemur_coronatus	
PD_0612-Eulemur_flavifrons	
PD_0613-Eulemur_fulvus	
PD_0614-Eulemur_macaco	
PD_0615-Eulemur_mongoz	
PD_0616-Eulemur_rubriventer	
PD_0617-Eulemur_rufus	
PD_0618-Eulemur_sanfordi	
PD_0619-Hapalemur_alaotrensis	
PD_0620-Lemur_catta	
PD_0621-Varecia_variegata	
PD_0531-Loris_lydekkerianus	
PD_0532-Loris_lydekkerianus	
PD_0626-Loris_tardigradus	
PD_0044-Macaca_siberu	
PD_0070-Macaca_maura	
PD_0071-Macaca_arctoides	
PD_0097-Macaca_leonina	
PD_0261-Macaca_mulatta	
PD_0533-Macaca_arctoides	
PD_0534-Macaca_arctoides	
PD_0535-Macaca_arctoides	
PD_0538-Macaca_fascicularis	
PD_0539-Macaca_fascicularis	
PD_0540-Macaca_leonina	
PD_0541-Macaca_leonina	
PD_0542-Macaca_leonina	
PD_0543-Macaca_leonina	
PD_0544-Macaca_leonina	
PD_0546-Macaca_mulatta	
PD_0547-Macaca_mulatta	
PD_0548-Macaca_mulatta	
PD_0549-Macaca_mulatta	
PD_0550-Macaca_mulatta	
PD_0551-Macaca_mulatta	
PD_0552-Macaca_radiata	
PD_0553-Macaca_radiata	
PD_0554-Macaca_radiata	
PD_0555-Macaca_radiata	
PD_0556-Macaca_radiata	
PD_0557-Macaca_radiata	
PD_0558-Macaca_radiata	
PD_0559-Macaca_radiata	
PD_0560-Macaca_radiata	
PD_0561-Macaca_radiata	
PD_0562-Macaca_radiata	
PD_0563-Macaca_radiata	
PD_0564-Macaca_radiata	
PD_0565-Macaca_silenus	
PD_0566-Macaca_silenus	
PD_0567-Macaca_silenus	
PD_0568-Macaca_silenus	
PD_0569-Macaca_silenus	
PD_0570-Macaca_silenus	
PD_0571-Macaca_silenus	
PD_0572-Macaca_silenus	
PD_0573-Macaca_silenus	
PD_0574-Macaca_silenus	
PD_0575-Macaca_silenus	
PD_0576-Macaca_silenus	
PD_0577-Macaca_silenus	
PD_0816-Macaca_fascicularis	
PD_0817-Macaca_fascicularis	
PD_0818-Macaca_fascicularis	
PD_0819-Macaca_fascicularis	
PD_0820-Macaca_fascicularis	
PD_0821-Macaca_fascicularis	
PD_0822-Macaca_fascicularis	
PD_0823-Macaca_fascicularis	
PD_0824-Macaca_fascicularis	
PD_0825-Macaca_fascicularis	
PD_0826-Macaca_fascicularis	
PD_0827-Macaca_fascicularis	
PD_0828-Macaca_fascicularis	
PD_0829-Macaca_fascicularis	
PD_0830-Macaca_fascicularis	
PD_0831-Macaca_fascicularis	
PD_0832-Macaca_fascicularis	
PD_0833-Macaca_fascicularis	
PD_0834-Macaca_fascicularis	
PD_0835-Macaca_fascicularis	
PD_0836-Macaca_fascicularis	
PD_0837-Macaca_fascicularis	
PD_0838-Macaca_fascicularis	
PD_0856-Macaca_nigra	
PD_0857-Macaca_tonkeana	
PD_0858-Macaca_nemestrina	
PD_0859-Macaca_assamensis	
PD_0860-Macaca_arctoides	
PD_0870-Macaca_nemestrina	
PD_0872-Macaca_nemestrina	
PD_0874-Macaca_nemestrina	
PD_0883-Macaca_thibetana	
PD_0885-Macaca_cyclopis	
PD_0886-Macaca_fuscata	
PD_0161-Lepilemur_septentrionalis	
PD_0163-Mirza_zaza	
PD_0245-Lepilemur_ankaranensis	
PD_0246-Lepilemur_dorsalis	
PD_0248-Lepilemur_ankaranensis	
PD_0249-Lepilemur_ruficaudatus	
PD_0250-Lepilemur_septentrionalis	
PD_0605-Cheirogaleus_major	
PD_0606-Cheirogaleus_medius	
PD_0607-Microcebus_murinus	
PD_0608-Mirza_zaza	
PD_0035-Hylobates_klossii	
PD_0036-Hylobates_abbotti	
PD_0037-Nomascus_concolor	
PD_0049-Hylobates_muelleri	
PD_0050-Hylobates_agilis	
PD_0051-Nomascus_gabriellae	
PD_0098-Hylobates_lar	
PD_0099-Nomascus_siki	
PD_0164-Nomascus_annamensis	
PD_0520-Hoolock_hoolock	
PD_0521-Hoolock_hoolock	
PD_0522-Hoolock_hoolock	
PD_0523-Hoolock_hoolock	
PD_0524-Hoolock_hoolock	
PD_0525-Hoolock_hoolock	
PD_0527-Hoolock_hoolock	
PD_0528-Hoolock_hoolock	
PD_0529-Hoolock_hoolock	
PD_0530-Hoolock_hoolock	
PD_0537-Hoolock_hoolock	
PD_0110-Nycticebus_pygmaeus	
PD_0111-Nycticebus_pygmaeus	
PD_0145-Arctocebus_calabarensis	
PD_0165-Perodicticus_ibeanus	
PD_0578-Nycticebus_bengalensis	
PD_0579-Nycticebus_bengalensis	
PD_0580-Nycticebus_bengalensis	
PD_0581-Nycticebus_bengalensis	
PD_0627-Perodicticus_potto	
PD_0839-Nycticebus_bengalensis	
PD_0842-Nycticebus_bengalensis	
PD_0845-Nycticebus_bengalensis	
PD_0846-Nycticebus_bengalensis	
PD_0855-Nycticebus_coucang	
PD_0623-Otolemur_crassicaudatus	
PD_0624-Otolemur_garnettii	
PD_0625-Otolemur_crassicaudatus	
PD_0257-Pan_troglodytes	
PD_0258-Pan_troglodytes	
PD_0259-Pan_troglodytes	
PD_0427-Pan_troglodytes	
PD_0265-Papio_anubis	
PD_0266-Papio_anubis	
PD_0267-Papio_anubis	
PD_0268-Papio_cynocephalus	
PD_0269-Papio_cynocephalus	
PD_0270-Papio_cynocephalus	
PD_0271-Papio_cynocephalus	
PD_0272-Papio_cynocephalus	
PD_0001-Cheracebus_lugens	
PD_0003-Cacajao_hosomi	
PD_0006-Chiropotes_israelita	
PD_0014-Plecturocebus_cupreus	
PD_0015-Pithecia_vanzolinii	
PD_0018-Cacajao_melanocephalus	
PD_0019-Cacajao_ayresi	
PD_0020-Cacajao_calvus	
PD_0021-Cacajao_calvus	
PD_0022-Cacajao_ayresi	
PD_0023-Cacajao_calvus	
PD_0024-Cacajao_calvus	
PD_0081-Chiropotes_sagulatus	
PD_0082-Chiropotes_sagulatus	
PD_0083-Pithecia_pissinattii	
PD_0084-Pithecia_chrysocephala	
PD_0085-Pithecia_hirsuta	
PD_0086-Pithecia_mittermeieri	
PD_0087-Pithecia_albicans	
PD_0088-Cacajao_calvus	
PD_0128-Cacajao_melanocephalus	
PD_0129-Cacajao_hosomi	
PD_0130-Cacajao_calvus	
PD_0131-Cacajao_ayresi	
PD_0132-Cacajao_calvus	
PD_0133-Cacajao_calvus	
PD_0142-Chiropotes_albinasus	
PD_0143-Pithecia_hirsuta	
PD_0144-Pithecia_pissinattii	
PD_0273-Plecturocebus_bernhardi	
PD_0274-Plecturocebus_brunneus	
PD_0275-Plecturocebus_caligatus	
PD_0276-Plecturocebus_cinerascens	
PD_0277-Plecturocebus_dubius	
PD_0278-Plecturocebus_grovesi	
PD_0279-Plecturocebus_hoffmannsi	
PD_0280-Plecturocebus_miltoni	
PD_0284-Cheracebus_regulus	
PD_0285-Cheracebus_torquatus	
PD_0288-Cheracebus_lucifer	
PD_0289-Cacajao_calvus	
PD_0290-Cacajao_calvus	
PD_0291-Cacajao_calvus	
PD_0292-Cacajao_calvus	
PD_0306-Cacajao_calvus	
PD_0307-Cacajao_calvus	
PD_0308-Cacajao_calvus	
PD_0312-Cheracebus_lucifer	
PD_0313-Cheracebus_lucifer	
PD_0314-Cheracebus_lucifer	
PD_0315-Cheracebus_lugens	
PD_0316-Cheracebus_lugens	
PD_0317-Cheracebus_lugens	
PD_0318-Cheracebus_lugens	
PD_0319-Cheracebus_lugens	
PD_0320-Cheracebus_lugens	
PD_0321-Cheracebus_lugens	
PD_0322-Cheracebus_regulus	
PD_0323-Chiropotes_albinasus	
PD_0325-Chiropotes_albinasus	
PD_0326-Chiropotes_israelita	
PD_0327-Chiropotes_israelita	
PD_0328-Chiropotes_israelita	
PD_0329-Chiropotes_sagulatus	
PD_0330-Chiropotes_sagulatus	
PD_0331-Pithecia_pissinattii	
PD_0332-Plecturocebus_bernhardi	
PD_0333-Plecturocebus_bernhardi	
PD_0334-Plecturocebus_brunneus	
PD_0335-Plecturocebus_caligatus	
PD_0336-Plecturocebus_caligatus	
PD_0338-Plecturocebus_cupreus	
PD_0339-Plecturocebus_cupreus	
PD_0340-Plecturocebus_cupreus	
PD_0341-Plecturocebus_cupreus	
PD_0342-Plecturocebus_dubius	
PD_0343-Plecturocebus_dubius	
PD_0344-Plecturocebus_moloch	
PD_0345-Chiropotes_albinasus	
PD_0409-Chiropotes_albinasus	
PD_0434-Cacajao_calvus	
PD_0435-Cacajao_calvus	
PD_0436-Cacajao_calvus	
PD_0437-Cacajao_calvus	
PD_0262-Pongo_pygmaeus	
PD_0263-Pongo_abelii	
PD_0146-Avahi_laniger	
PD_0147-Avahi_peyrierasi	
PD_0167-Propithecus_coronatus	
PD_0168-Propithecus_diadema	
PD_0169-Propithecus_edwardsi	
PD_0170-Propithecus_perrieri	
PD_0171-Propithecus_tattersalli	
PD_0172-Propithecus_verreauxi	
PD_0251-Propithecus_diadema	
PD_0252-Propithecus_perrieri	
PD_0609-Propithecus_coquereli	
PD_0854-Indri_indri	
PD_0199-Papio_anubis	
PD_0200-Papio_anubis	
PD_0201-Papio_anubis	
PD_0202-Papio_anubis	
PD_0203-Papio_anubis	
PD_0204-Papio_anubis	
PD_0205-Papio_anubis	
PD_0206-Papio_anubis	
PD_0207-Papio_anubis	
PD_0208-Papio_anubis	
PD_0209-Papio_anubis	
PD_0210-Papio_anubis	
PD_0211-Papio_anubis	
PD_0212-Papio_anubis	
PD_0213-Papio_cynocephalus	
PD_0214-Papio_cynocephalus	
PD_0215-Papio_cynocephalus	
PD_0216-Papio_cynocephalus	
PD_0217-Papio_cynocephalus	
